ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,AGE_YEARS,FLAG_UNEMPLOYED,YEARS_EMPLOYED,STATUS_TARGET
5008835,M,N,N,2,167000.0,Working,Secondary / secondary special,Married,House / apartment,-23093,-11887,1,0,1,0,Laborers,4,63.23,0,32.54,0
5008836,M,N,N,0,146300.0,Working,Secondary / secondary special,Married,House / apartment,-23628,-7808,1,0,0,0,Sales staff,2,64.69,0,21.38,0
5008837,F,N,N,2,406000.0,Working,Incomplete higher,Married,With parents,-17032,-7766,1,0,0,0,Core staff,4,46.63,0,21.26,0
5008838,F,Y,Y,0,148800.0,Working,Incomplete higher,Married,House / apartment,-13510,-242,1,1,0,0,Accountants,2,36.99,0,0.66,0
5008839,F,Y,Y,1,180300.0,Working,Secondary / secondary special,Married,House / apartment,-15542,-7538,1,0,0,0,Core staff,3,42.55,0,20.64,1
5008840,M,N,N,0,380500.0,State servant,Secondary / secondary special,Married,House / apartment,-23187,-13873,1,0,0,0,Managers,2,63.48,0,37.98,0
5008841,M,N,Y,0,248400.0,Working,Higher education,Married,House / apartment,-11158,-1953,1,0,0,0,Private service staff,2,30.55,0,5.35,0
5008842,F,N,Y,1,99400.0,State servant,Secondary / secondary special,Married,House / apartment,-12690,-4082,1,0,0,0,Unknown,3,34.74,0,11.18,1
5008843,F,N,Y,0,584800.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21649,365243,1,1,0,0,Unknown,2,59.27,1,0.0,0
5008844,M,N,N,0,187300.0,Working,Secondary / secondary special,Widow,House / apartment,-24385,-12337,1,0,0,0,Core staff,1,66.76,0,33.78,0
5008845,F,N,Y,0,199600.0,Commercial associate,Incomplete higher,Married,House / apartment,-9002,-1376,1,0,1,0,Laborers,2,24.65,0,3.77,0
5008846,M,Y,Y,0,277400.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-21984,-9298,1,0,1,0,Drivers,1,60.19,0,25.46,0
5008847,F,N,Y,0,333700.0,Working,Higher education,Single / not married,House / apartment,-19086,-10940,1,0,0,0,Unknown,1,52.25,0,29.95,0
5008848,M,N,N,1,650800.0,Working,Secondary / secondary special,Married,House / apartment,-11519,-3681,1,0,0,0,Unknown,3,31.54,0,10.08,1
5008849,F,N,Y,0,106500.0,Working,Secondary / secondary special,Married,House / apartment,-21108,-9606,1,0,0,0,Unknown,2,57.79,0,26.3,0
5008850,M,N,Y,0,369000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20599,-136,1,0,0,0,Unknown,2,56.4,0,0.37,0
5008851,F,N,Y,0,354000.0,Commercial associate,Incomplete higher,Married,House / apartment,-9899,-99,1,0,1,0,Cleaning staff,2,27.1,0,0.27,0
5008852,F,Y,N,0,228000.0,Working,Secondary / secondary special,Married,House / apartment,-16477,365243,1,0,1,0,Unknown,2,45.11,1,0.0,0
5008853,M,N,N,0,361900.0,Working,Secondary / secondary special,Married,House / apartment,-21153,-10332,1,0,0,0,Core staff,2,57.91,0,28.29,1
5008854,F,Y,N,1,389500.0,Working,Higher education,Married,House / apartment,-10803,-3964,1,0,0,0,Accountants,3,29.58,0,10.85,0
5008855,F,N,Y,1,122300.0,Working,Secondary / secondary special,Married,House / apartment,-15756,-1020,1,0,1,0,Laborers,3,43.14,0,2.79,0
5008856,F,Y,N,0,585600.0,Commercial associate,Higher education,Married,House / apartment,-9510,-1412,1,0,0,0,Unknown,2,26.04,0,3.87,0
5008857,F,Y,Y,1,112000.0,Pensioner,Secondary / secondary special,Separated,Co-op apartment,-12909,365243,1,0,0,0,Unknown,2,35.34,1,0.0,0
5008858,F,N,Y,0,138400.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-11285,-3887,1,0,0,0,Drivers,2,30.9,0,10.64,0
5008859,F,N,Y,1,214200.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-16529,-6202,1,0,1,0,Sales staff,3,45.25,0,16.98,0
5008860,M,N,Y,0,639200.0,Commercial associate,Lower secondary,Single / not married,House / apartment,-9884,-2850,1,0,0,0,Managers,1,27.06,0,7.8,0
5008861,M,Y,N,0,209300.0,Commercial associate,Secondary / secondary special,Single / not married,With parents,-14302,-6790,1,0,0,0,Core staff,1,39.16,0,18.59,0
5008862,M,N,Y,0,240300.0,Commercial associate,Higher education,Married,House / apartment,-12330,-2485,1,1,0,1,Laborers,2,33.76,0,6.8,0
5008863,M,Y,Y,0,499600.0,Working,Secondary / secondary special,Married,House / apartment,-20930,-10908,1,1,0,0,Sales staff,2,57.3,0,29.86,0
5008864,F,N,Y,0,210100.0,Student,Secondary / secondary special,Married,House / apartment,-20083,-8752,1,0,0,0,Laborers,2,54.98,0,23.96,0
5008865,M,N,Y,0,135400.0,Working,Secondary / secondary special,Married,House / apartment,-9039,-287,1,0,0,0,Drivers,2,24.75,0,0.79,1
5008866,F,N,Y,0,198200.0,Working,Higher education,Married,House / apartment,-24718,-14912,1,0,0,0,Unknown,2,67.67,0,40.83,0
5008867,F,Y,Y,0,484500.0,Working,Secondary / secondary special,Married,House / apartment,-20905,-8013,1,1,0,0,Unknown,2,57.23,0,21.94,0
5008868,M,N,Y,0,252900.0,Working,Secondary / secondary special,Married,House / apartment,-18554,-10589,1,1,0,0,Core staff,2,50.8,0,28.99,0
5008869,F,Y,Y,0,641000.0,Pensioner,Higher education,Separated,House / apartment,-16029,365243,1,0,1,0,Unknown,1,43.89,1,0.0,0
5008870,M,N,Y,0,353100.0,Working,Secondary / secondary special,Married,House / apartment,-10554,-80,1,0,0,1,Accountants,2,28.9,0,0.22,0
5008871,F,Y,N,0,176900.0,Pensioner,Secondary / secondary special,Married,House / apartment,-24874,365243,1,0,1,0,Unknown,2,68.1,1,0.0,0
5008872,M,N,Y,0,250400.0,Working,Secondary / secondary special,Widow,House / apartment,-7449,-753,1,0,0,0,Managers,1,20.39,0,2.06,1
5008873,F,Y,N,2,159300.0,Working,Secondary / secondary special,Married,House / apartment,-19951,-166,1,0,0,0,Laborers,4,54.62,0,0.45,0
5008874,F,N,N,2,174800.0,Working,Secondary / secondary special,Married,House / apartment,-16572,-4519,1,0,0,1,Cleaning staff,4,45.37,0,12.37,0
5008875,M,N,N,0,2292200.0,Commercial associate,Higher education,Married,Municipal apartment,-23788,-12190,1,1,0,0,High skill tech staff,2,65.13,0,33.37,0
5008876,M,N,Y,0,406300.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-14257,365243,1,0,0,1,Unknown,1,39.03,1,0.0,0
5008877,F,Y,Y,0,375500.0,Working,Secondary / secondary special,Married,House / apartment,-16777,-5669,1,0,0,0,Laborers,2,45.93,0,15.52,0
5008878,F,N,N,2,178800.0,Working,Higher education,Married,With parents,-20862,-11591,1,0,0,0,Drivers,4,57.12,0,31.73,1
5008879,F,N,Y,0,535100.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,-8174,-1527,1,1,1,0,Sales staff,2,22.38,0,4.18,0
5008880,F,N,Y,0,423000.0,Working,Higher education,Married,House / apartment,-8300,-292,1,0,1,0,Unknown,2,22.72,0,0.8,0
5008881,M,Y,Y,0,625500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-11171,-938,1,0,0,0,Drivers,1,30.58,0,2.57,0
5008882,F,N,Y,0,610500.0,Working,Secondary / secondary special,Widow,House / apartment,-9979,-2388,1,0,0,0,Laborers,1,27.32,0,6.54,0
5008883,M,N,N,0,116500.0,Working,Secondary / secondary special,Married,House / apartment,-7423,-275,1,0,0,0,Security staff,2,20.32,0,0.75,1
5008884,F,Y,Y,0,140200.0,Working,Secondary / secondary special,Married,House / apartment,-18682,-1528,1,0,1,0,Unknown,2,51.15,0,4.18,0
5008885,F,Y,Y,0,147800.0,Working,Secondary / secondary special,Civil marriage,Municipal apartment,-21841,-6602,1,0,1,0,Laborers,2,59.8,0,18.08,0
5008886,M,N,Y,0,152300.0,Pensioner,Secondary / secondary special,Married,House / apartment,-24784,365243,1,1,0,0,Unknown,2,67.85,1,0.0,0
5008887,M,Y,Y,0,287000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-15357,-8184,1,0,1,0,High skill tech staff,1,42.05,0,22.41,0
5008888,M,Y,Y,0,183900.0,Pensioner,Secondary / secondary special,Married,House / apartment,-12413,365243,1,0,1,0,Unknown,2,33.98,1,0.0,0
5008889,M,N,Y,0,688200.0,Working,Secondary / secondary special,Married,House / apartment,-23082,-12611,1,0,1,0,Sales staff,2,63.2,0,34.53,0
5008890,F,N,N,1,632700.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-22726,-3436,1,0,1,0,Drivers,3,62.22,0,9.41,0
5008891,F,Y,Y,0,243300.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18716,-8256,1,0,0,0,Sales staff,2,51.24,0,22.6,0
5008892,F,N,N,0,649000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-12293,365243,1,0,1,0,Unknown,2,33.66,1,0.0,0
5008893,F,Y,Y,0,513800.0,Working,Secondary / secondary special,Married,House / apartment,-23897,-9384,1,0,0,0,Drivers,2,65.43,0,25.69,0
5008894,M,Y,Y,0,194900.0,Working,Higher education,Married,House / apartment,-10563,-267,1,0,1,0,Sales staff,2,28.92,0,0.73,0
5008895,F,Y,Y,0,89400.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-8102,-1230,1,0,0,0,Unknown,2,22.18,0,3.37,0
5008896,F,N,Y,0,218900.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,-21853,-11847,1,0,1,0,Unknown,2,59.83,0,32.44,0
5008897,F,Y,N,0,176900.0,State servant,Secondary / secondary special,Single / not married,House / apartment,-17599,-5589,1,0,1,0,Laborers,1,48.18,0,15.3,0
5008898,F,Y,N,0,270700.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-11806,-798,1,0,0,0,Unknown,2,32.32,0,2.18,0
5008899,F,N,Y,0,255300.0,Working,Higher education,Married,House / apartment,-19557,-9352,1,0,0,0,Accountants,2,53.54,0,25.6,0
5008900,F,N,Y,0,251900.0,Working,Secondary / secondary special,Married,House / apartment,-21307,-1645,1,1,1,0,Accountants,2,58.34,0,4.5,0
5008901,F,Y,N,0,317200.0,State servant,Secondary / secondary special,Married,House / apartment,-22729,-8750,1,0,1,0,Laborers,2,62.23,0,23.96,0
5008902,M,N,Y,0,133100.0,Working,Secondary / secondary special,Married,House / apartment,-12457,-4295,1,0,0,1,Cooking staff,2,34.11,0,11.76,0
5008903,M,Y,Y,0,299900.0,Working,Higher education,Single / not married,House / apartment,-7772,-17,1,1,1,0,Medicine staff,1,21.28,0,0.05,0
5008904,M,N,N,0,196000.0,State servant,Higher education,Married,House / apartment,-16620,-9132,1,0,0,0,Unknown,2,45.5,0,25.0,0
5008905,F,N,Y,0,269800.0,Working,Secondary / secondary special,Single / not married,Rented apartment,-22939,-10186,1,0,0,0,Security staff,1,62.8,0,27.89,0
5008906,M,N,N,0,394000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-11100,-1960,1,0,0,0,Unknown,1,30.39,0,5.37,0
5008907,F,Y,Y,0,132400.0,Commercial associate,Higher education,Married,With parents,-14996,-103,1,0,0,0,Laborers,2,41.06,0,0.28,0
5008908,F,Y,N,1,212100.0,Working,Secondary / secondary special,Married,House / apartment,-11988,-3158,1,0,0,0,Unknown,3,32.82,0,8.65,0
5008909,M,Y,Y,1,230100.0,Working,Secondary / secondary special,Married,House / apartment,-7549,-43,1,0,1,0,Laborers,3,20.67,0,0.12,0
5008910,F,Y,Y,0,188800.0,Working,Higher education,Married,House / apartment,-23714,-62,1,0,0,0,Unknown,2,64.93,0,0.17,0
5008911,F,Y,Y,0,382800.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-9771,-3042,1,1,1,0,Unknown,2,26.75,0,8.33,0
5008912,M,N,Y,0,170300.0,Working,Secondary / secondary special,Married,House / apartment,-21308,-8036,1,0,0,0,Core staff,2,58.34,0,22.0,0
5008913,M,N,Y,0,184900.0,Working,Secondary / secondary special,Married,House / apartment,-13635,-5531,1,0,0,0,Medicine staff,2,37.33,0,15.14,0
5008914,M,N,Y,1,171200.0,State servant,Higher education,Married,House / apartment,-12376,-1173,1,0,1,0,Managers,3,33.88,0,3.21,0
5008915,M,N,Y,1,421500.0,Working,Secondary / secondary special,Married,House / apartment,-24491,-14047,1,0,0,0,Unknown,3,67.05,0,38.46,0
5008916,F,N,N,2,190800.0,Working,Higher education,Married,House / apartment,-19307,-8,1,0,0,0,Laborers,4,52.86,0,0.02,0
5008917,F,N,Y,0,307300.0,Working,Secondary / secondary special,Married,House / apartment,-19850,-13273,1,0,0,0,Sales staff,2,54.35,0,36.34,0
5008918,F,Y,Y,0,655600.0,Working,Higher education,Married,House / apartment,-21178,-12140,1,1,0,0,Accountants,2,57.98,0,33.24,0
5008919,F,N,Y,1,235200.0,Student,Higher education,Married,House / apartment,-13531,-4959,1,1,0,0,Laborers,3,37.05,0,13.58,0
5008920,F,N,Y,0,425700.0,Working,Secondary / secondary special,Single / not married,House / apartment,-17599,-1017,1,0,0,0,Unknown,1,48.18,0,2.78,0
5008921,M,N,Y,1,563100.0,Working,Secondary / secondary special,Single / not married,House / apartment,-12240,-4620,1,0,0,0,Sales staff,2,33.51,0,12.65,0
5008922,F,N,Y,0,408000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22546,365243,1,0,1,0,Unknown,2,61.73,1,0.0,0
5008923,F,Y,N,0,242100.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18250,-3468,1,0,0,0,Unknown,2,49.97,0,9.49,0
5008924,F,Y,Y,0,336600.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-11750,-4423,1,0,0,0,Unknown,2,32.17,0,12.11,1
5008925,F,N,Y,0,128300.0,Pensioner,Higher education,Married,House / apartment,-23737,365243,1,0,0,0,Unknown,2,64.99,1,0.0,1
5008926,M,Y,N,0,165300.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17913,-7443,1,0,0,0,Laborers,2,49.04,0,20.38,0
5008927,M,N,N,0,180400.0,Working,Secondary / secondary special,Single / not married,House / apartment,-16345,-4430,1,0,0,0,Sales staff,1,44.75,0,12.13,0
5008928,M,N,Y,0,748500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-7935,-319,1,0,0,0,Unknown,2,21.72,0,0.87,0
5008929,F,N,N,0,162600.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23920,365243,1,0,0,0,Unknown,2,65.49,1,0.0,0
5008930,F,N,Y,0,161400.0,Working,Secondary / secondary special,Widow,House / apartment,-24696,-4381,1,0,0,0,Unknown,1,67.61,0,11.99,0
5008931,F,Y,N,0,144900.0,Commercial associate,Incomplete higher,Married,House / apartment,-17579,-3127,1,1,0,0,Unknown,2,48.13,0,8.56,0
5008932,M,Y,Y,1,323000.0,State servant,Secondary / secondary special,Separated,House / apartment,-15386,-7432,1,0,0,0,Laborers,2,42.12,0,20.35,0
5008933,F,N,Y,0,262200.0,Commercial associate,Higher education,Married,House / apartment,-13872,-1307,1,0,0,0,Managers,2,37.98,0,3.58,0
5008934,F,N,N,0,420400.0,Working,Higher education,Married,House / apartment,-12200,-1519,1,0,1,0,Sales staff,2,33.4,0,4.16,0
5008935,M,N,Y,3,341500.0,Working,Higher education,Married,Rented apartment,-17797,-10508,1,0,0,0,Unknown,5,48.73,0,28.77,0
5008936,M,Y,Y,2,122400.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-9644,-282,1,0,0,0,Private service staff,3,26.4,0,0.77,0
5008937,M,Y,Y,0,163100.0,Working,Secondary / secondary special,Married,With parents,-24091,-14814,1,0,0,0,High skill tech staff,2,65.96,0,40.56,0
5008938,F,N,Y,1,483200.0,State servant,Secondary / secondary special,Married,House / apartment,-10518,-943,1,0,0,0,Unknown,3,28.8,0,2.58,0
5008939,M,Y,Y,0,220500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-20920,-7819,1,0,1,0,Core staff,1,57.28,0,21.41,0
5008940,F,N,Y,0,442100.0,Working,Lower secondary,Married,House / apartment,-12910,-6015,1,0,0,0,Unknown,2,35.35,0,16.47,0
5008941,F,Y,Y,0,226500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-11434,-1784,1,0,0,0,Core staff,2,31.3,0,4.88,0
5008942,F,N,Y,0,150500.0,Working,Secondary / secondary special,Married,House / apartment,-17493,-6887,1,0,0,0,Unknown,2,47.89,0,18.86,0
5008943,F,N,Y,1,209800.0,Working,Secondary / secondary special,Married,House / apartment,-21278,-976,1,0,0,0,Laborers,3,58.26,0,2.67,0
5008944,F,N,Y,1,150500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-20577,-13976,1,0,0,0,Laborers,3,56.34,0,38.26,0
5008945,M,Y,Y,3,184000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-11574,-3723,1,0,0,0,Core staff,5,31.69,0,10.19,0
5008946,F,N,N,1,269900.0,Pensioner,Secondary / secondary special,Married,House / apartment,-13341,365243,1,0,0,0,Unknown,3,36.53,1,0.0,0
5008947,M,N,Y,0,315300.0,Commercial associate,Higher education,Married,House / apartment,-23172,-6136,1,0,0,0,Core staff,2,63.44,0,16.8,0
5008948,M,N,Y,0,110200.0,Working,Secondary / secondary special,Married,House / apartment,-20513,-772,1,0,0,0,Unknown,2,56.16,0,2.11,0
5008949,M,N,N,4,242000.0,Working,Secondary / secondary special,Married,House / apartment,-20321,-11025,1,0,1,0,Sales staff,6,55.64,0,30.18,0
5008950,F,N,N,1,182100.0,Pensioner,Secondary / secondary special,Married,House / apartment,-12216,365243,1,1,0,0,Unknown,3,33.45,1,0.0,0
5008951,F,N,Y,1,176500.0,State servant,Secondary / secondary special,Widow,House / apartment,-21769,-7965,1,0,0,1,Core staff,2,59.6,0,21.81,0
5008952,M,N,N,2,260900.0,Working,Secondary / secondary special,Single / not married,House / apartment,-13851,-5358,1,0,1,0,Laborers,3,37.92,0,14.67,0
5008953,M,Y,Y,0,185400.0,Commercial associate,Higher education,Married,House / apartment,-14635,-544,1,0,1,0,Managers,2,40.07,0,1.49,0
5008954,F,Y,N,1,487300.0,Working,Secondary / secondary special,Married,House / apartment,-12557,-769,1,1,1,0,Laborers,3,34.38,0,2.11,0
5008955,M,Y,Y,1,442200.0,Working,Secondary / secondary special,Married,House / apartment,-9522,-192,1,0,0,0,Drivers,3,26.07,0,0.53,0
5008956,M,N,Y,2,440800.0,Pensioner,Incomplete higher,Married,House / apartment,-14982,365243,1,0,0,0,Unknown,4,41.02,1,0.0,0
5008957,F,N,Y,0,190600.0,Working,Higher education,Married,House / apartment,-7614,-944,1,0,0,0,Laborers,2,20.85,0,2.58,0
5008958,F,N,N,0,150900.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15631,-4397,1,0,1,0,Managers,2,42.8,0,12.04,1
5008959,M,Y,Y,0,254400.0,Working,Secondary / secondary special,Married,House / apartment,-20545,-13761,1,0,0,0,Laborers,2,56.25,0,37.68,0
5008960,F,Y,Y,0,226500.0,Working,Higher education,Married,House / apartment,-24851,-12206,1,1,0,0,Unknown,2,68.04,0,33.42,0
5008961,F,N,Y,0,180100.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-8741,-1087,1,0,1,0,Managers,1,23.93,0,2.98,0
5008962,M,N,N,0,135600.0,Working,Secondary / secondary special,Married,House / apartment,-12442,-940,1,0,1,0,Drivers,2,34.06,0,2.57,0
5008963,F,Y,N,0,239100.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-16329,-695,1,0,0,0,Laborers,2,44.71,0,1.9,0
5008964,F,N,Y,0,199500.0,Working,Secondary / secondary special,Married,House / apartment,-10417,-2652,1,1,0,0,Unknown,2,28.52,0,7.26,0
5008965,F,Y,Y,0,344400.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-9439,-1588,1,0,0,0,Unknown,2,25.84,0,4.35,0
5008966,F,Y,Y,0,340400.0,Working,Secondary / secondary special,Widow,House / apartment,-15565,365243,1,0,0,0,Unknown,1,42.61,1,0.0,0
5008967,F,N,Y,0,423300.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17911,-9555,1,0,1,0,Unknown,2,49.04,0,26.16,0
5008968,M,Y,N,0,130100.0,Commercial associate,Higher education,Separated,House / apartment,-22284,-14330,1,0,0,0,Laborers,1,61.01,0,39.23,0
5008969,F,N,Y,0,298300.0,State servant,Secondary / secondary special,Married,House / apartment,-25527,-2936,1,0,0,0,Laborers,2,69.89,0,8.04,0
5008970,M,Y,Y,0,169700.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21445,365243,1,0,1,1,Unknown,2,58.71,1,0.0,0
5008971,M,Y,Y,0,132600.0,Working,Secondary / secondary special,Married,House / apartment,-11347,-2996,1,0,0,1,Laborers,2,31.07,0,8.2,0
5008972,M,Y,Y,0,197000.0,Working,Secondary / secondary special,Civil marriage,With parents,-20965,-12270,1,0,0,0,Unknown,2,57.4,0,33.59,0
5008973,F,N,Y,1,416600.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17115,-7750,1,0,0,0,Unknown,3,46.86,0,21.22,0
5008974,F,N,Y,0,202700.0,Commercial associate,Higher education,Widow,House / apartment,-15538,-6915,1,0,1,0,Sales staff,1,42.54,0,18.93,1
5008975,M,N,Y,0,534000.0,Working,Secondary / secondary special,Married,House / apartment,-24394,-1427,1,0,0,0,Unknown,2,66.79,0,3.91,0
5008976,F,Y,Y,1,321200.0,Working,Secondary / secondary special,Married,House / apartment,-20127,-12738,1,1,1,0,Managers,3,55.1,0,34.87,0
5008977,M,Y,Y,0,200500.0,Commercial associate,Higher education,Married,House / apartment,-19754,-6224,1,1,0,1,Laborers,2,54.08,0,17.04,0
5008978,F,N,Y,2,436000.0,Pensioner,Higher education,Married,House / apartment,-7520,365243,1,1,1,0,Unknown,4,20.59,1,0.0,0
5008979,M,N,Y,1,305000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23103,365243,1,0,0,0,Unknown,3,63.25,1,0.0,0
5008980,F,N,N,0,153200.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-21793,-1313,1,1,0,0,Unknown,2,59.67,0,3.59,0
