ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,STATUS_TARGET,AGE_YEARS,FLAG_UNEMPLOYED,YEARS_EMPLOYED,INCOME_PER_MEMBER,EMPLOYED_TO_AGE_RATIO,INCOME_GROUP,AGE_GROUP,EXPERIENCE_BUCKET,FINANCIAL_STABILITY_SCORE
5008861,M,Y,N,0,209300.0,Commercial associate,Secondary / secondary special,Single / not married,With parents,-14302,-6790,1,0,0,0,Core staff,1.0,0,39.16,0,18.59,209300.0,0.47471910112359555,medium,adult,senior,2.0
5008862,M,N,Y,0,240300.0,Commercial associate,Higher education,Married,House / apartment,-12330,-2485,1,1,0,1,Laborers,2.0,0,33.76,0,6.8,120150.0,0.2014218009478673,medium,youth,mid,2.0
5008863,M,Y,Y,0,499600.0,Working,Secondary / secondary special,Married,House / apartment,-20930,-10908,1,1,0,0,Sales staff,2.0,0,57.3,0,29.86,249800.0,0.5211169284467714,high,senior,senior,3.0
5008864,F,N,Y,0,210100.0,Student,Secondary / secondary special,Married,House / apartment,-20083,-8752,1,0,0,0,Laborers,2.0,0,54.98,0,23.96,105050.0,0.4357948344852674,medium,adult,senior,2.0
5008865,M,N,Y,0,135400.0,Working,Secondary / secondary special,Married,House / apartment,-9039,-287,1,0,0,0,Drivers,2.0,1,24.75,0,0.79,67700.0,0.031919191919191924,medium,youth,entry,1.0
5008866,F,N,Y,0,198200.0,Working,Higher education,Married,House / apartment,-24718,-14912,1,0,0,0,,2.0,0,67.67,0,40.83,99100.0,0.6033692921530959,medium,senior,senior,2.0
5008867,F,Y,Y,0,484500.0,Working,Secondary / secondary special,Married,House / apartment,-20905,-8013,1,1,0,0,,2.0,0,57.23,0,21.94,242250.0,0.3833653678140836,high,senior,senior,3.0
5008868,M,N,Y,0,252900.0,Working,Secondary / secondary special,Married,House / apartment,-18554,-10589,1,1,0,0,Core staff,2.0,0,50.8,0,28.99,126450.0,0.5706692913385827,high,adult,senior,2.0
5008869,F,Y,Y,0,641000.0,Pensioner,Higher education,Separated,House / apartment,-16029,365243,1,0,1,0,,1.0,0,43.89,1,0.0,641000.0,0.0,high,adult,entry,3.0
5008870,M,N,Y,0,353100.0,Working,Secondary / secondary special,Married,House / apartment,-10554,-80,1,0,0,1,Accountants,2.0,0,28.9,0,0.22,176550.0,0.007612456747404845,high,youth,entry,2.0
5008871,F,Y,N,0,176900.0,Pensioner,Secondary / secondary special,Married,House / apartment,-24874,365243,1,0,1,0,,2.0,0,68.1,1,0.0,88450.0,0.0,medium,senior,entry,2.0
5008872,M,N,Y,0,250400.0,Working,Secondary / secondary special,Widow,House / apartment,-7449,-753,1,0,0,0,Managers,1.0,1,20.39,0,2.06,250400.0,0.10102991662579695,high,youth,entry,2.0
5008873,F,Y,N,2,159300.0,Working,Secondary / secondary special,Married,House / apartment,-19951,-166,1,0,0,0,Laborers,4.0,0,54.62,0,0.45,39825.0,0.008238740388136214,medium,adult,entry,2.0
5008874,F,N,N,2,174800.0,Working,Secondary / secondary special,Married,House / apartment,-16572,-4519,1,0,0,1,Cleaning staff,4.0,0,45.37,0,12.37,43700.0,0.272647123649989,medium,adult,senior,1.0
5008875,M,N,N,0,2292200.0,Commercial associate,Higher education,Married,Municipal apartment,-23788,-12190,1,1,0,0,High skill tech staff,2.0,0,65.13,0,33.37,1146100.0,0.5123598955934285,high,senior,senior,1.0
5008876,M,N,Y,0,406300.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-14257,365243,1,0,0,1,,1.0,0,39.03,1,0.0,406300.0,0.0,high,adult,entry,2.0
5008877,F,Y,Y,0,375500.0,Working,Secondary / secondary special,Married,House / apartment,-16777,-5669,1,0,0,0,Laborers,2.0,0,45.93,0,15.52,187750.0,0.3379055083823209,high,adult,senior,3.0
5008878,F,N,N,2,178800.0,Working,Higher education,Married,With parents,-20862,-11591,1,0,0,0,Drivers,4.0,1,57.12,0,31.73,44700.0,0.5554971988795518,medium,senior,senior,1.0
5008879,F,N,Y,0,535100.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,-8174,-1527,1,1,1,0,Sales staff,2.0,0,22.38,0,4.18,267550.0,0.1867739052725648,high,youth,mid,2.0
5008880,F,N,Y,0,423000.0,Working,Higher education,Married,House / apartment,-8300,-292,1,0,1,0,,2.0,0,22.72,0,0.8,211500.0,0.035211267605633804,high,youth,entry,2.0
5008881,M,Y,Y,0,625500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-11171,-938,1,0,0,0,Drivers,1.0,0,30.58,0,2.57,625500.0,0.08404185742315239,high,youth,entry,3.0
5008882,F,N,Y,0,610500.0,Working,Secondary / secondary special,Widow,House / apartment,-9979,-2388,1,0,0,0,Laborers,1.0,0,27.32,0,6.54,610500.0,0.23938506588579794,high,youth,mid,2.0
5008883,M,N,N,0,116500.0,Working,Secondary / secondary special,Married,House / apartment,-7423,-275,1,0,0,0,Security staff,2.0,1,20.32,0,0.75,58250.0,0.036909448818897635,medium,youth,entry,0.0
5008884,F,Y,Y,0,140200.0,Working,Secondary / secondary special,Married,House / apartment,-18682,-1528,1,0,1,0,,2.0,0,51.15,0,4.18,70100.0,0.08172043010752687,medium,adult,mid,2.0
5008885,F,Y,Y,0,147800.0,Working,Secondary / secondary special,Civil marriage,Municipal apartment,-21841,-6602,1,0,1,0,Laborers,2.0,0,59.8,0,18.08,73900.0,0.30234113712374583,medium,senior,senior,2.0
5008886,M,N,Y,0,152300.0,Pensioner,Secondary / secondary special,Married,House / apartment,-24784,365243,1,1,0,0,,2.0,0,67.85,1,0.0,76150.0,0.0,medium,senior,entry,2.0
5008887,M,Y,Y,0,287000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-15357,-8184,1,0,1,0,High skill tech staff,1.0,0,42.05,0,22.41,287000.0,0.5329369797859691,high,adult,senior,3.0
5008888,M,Y,Y,0,183900.0,Pensioner,Secondary / secondary special,Married,House / apartment,-12413,365243,1,0,1,0,,2.0,0,33.98,1,0.0,91950.0,0.0,medium,youth,entry,3.0
5008889,M,N,Y,0,688200.0,Working,Secondary / secondary special,Married,House / apartment,-23082,-12611,1,0,1,0,Sales staff,2.0,0,63.2,0,34.53,344100.0,0.5463607594936709,high,senior,senior,2.0
5008890,F,N,N,1,632700.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-22726,-3436,1,0,1,0,Drivers,3.0,0,62.22,0,9.41,210900.0,0.15123754419800708,high,senior,mid,1.0
5008891,F,Y,Y,0,243300.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18716,-8256,1,0,0,0,Sales staff,2.0,0,51.24,0,22.6,121650.0,0.4410616705698673,medium,adult,senior,3.0
5008892,F,N,N,0,649000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-12293,365243,1,0,1,0,,2.0,0,33.66,1,0.0,324500.0,0.0,high,youth,entry,1.0
5008893,F,Y,Y,0,513800.0,Working,Secondary / secondary special,Married,House / apartment,-23897,-9384,1,0,0,0,Drivers,2.0,0,65.43,0,25.69,256900.0,0.3926333486168424,high,senior,senior,3.0
5008894,M,Y,Y,0,194900.0,Working,Higher education,Married,House / apartment,-10563,-267,1,0,1,0,Sales staff,2.0,0,28.92,0,0.73,97450.0,0.02524204702627939,medium,youth,entry,3.0
5008895,F,Y,Y,0,89400.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-8102,-1230,1,0,0,0,,2.0,0,22.18,0,3.37,44700.0,0.15193868349864745,low,youth,mid,2.0
5008896,F,N,Y,0,218900.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,-21853,-11847,1,0,1,0,,2.0,0,59.83,0,32.44,109450.0,0.5422029082400134,medium,senior,senior,2.0
5008897,F,Y,N,0,176900.0,State servant,Secondary / secondary special,Single / not married,House / apartment,-17599,-5589,1,0,1,0,Laborers,1.0,0,48.18,0,15.3,176900.0,0.3175591531755915,medium,adult,senior,2.0
5008898,F,Y,N,0,270700.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-11806,-798,1,0,0,0,,2.0,0,32.32,0,2.18,135350.0,0.06745049504950495,high,youth,entry,2.0
5008899,F,N,Y,0,255300.0,Working,Higher education,Married,House / apartment,-19557,-9352,1,0,0,0,Accountants,2.0,0,53.54,0,25.6,127650.0,0.47814717967874487,high,adult,senior,2.0
5008900,F,N,Y,0,251900.0,Working,Secondary / secondary special,Married,House / apartment,-21307,-1645,1,1,1,0,Accountants,2.0,0,58.34,0,4.5,125950.0,0.07713404182379156,high,senior,mid,2.0
5008901,F,Y,N,0,317200.0,State servant,Secondary / secondary special,Married,House / apartment,-22729,-8750,1,0,1,0,Laborers,2.0,0,62.23,0,23.96,158600.0,0.38502330065884627,high,senior,senior,2.0
5008902,M,N,Y,0,133100.0,Working,Secondary / secondary special,Married,House / apartment,-12457,-4295,1,0,0,1,Cooking staff,2.0,0,34.11,0,11.76,66550.0,0.3447669305189094,medium,youth,senior,1.0
5008903,M,Y,Y,0,299900.0,Working,Higher education,Single / not married,House / apartment,-7772,-17,1,1,1,0,Medicine staff,1.0,0,21.28,0,0.05,299900.0,0.002349624060150376,high,youth,entry,3.0
5008904,M,N,N,0,196000.0,State servant,Higher education,Married,House / apartment,-16620,-9132,1,0,0,0,,2.0,0,45.5,0,25.0,98000.0,0.5494505494505495,medium,adult,senior,1.0
5008905,F,N,Y,0,269800.0,Working,Secondary / secondary special,Single / not married,Rented apartment,-22939,-10186,1,0,0,0,Security staff,1.0,0,62.8,0,27.89,269800.0,0.4441082802547771,high,senior,senior,2.0
5008906,M,N,N,0,394000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-11100,-1960,1,0,0,0,,1.0,0,30.39,0,5.37,394000.0,0.17670286278381048,high,youth,mid,1.0
5008907,F,Y,Y,0,132400.0,Commercial associate,Higher education,Married,With parents,-14996,-103,1,0,0,0,Laborers,2.0,0,41.06,0,0.28,66200.0,0.006819288845591817,medium,adult,entry,2.0
5008908,F,Y,N,1,212100.0,Working,Secondary / secondary special,Married,House / apartment,-11988,-3158,1,0,0,0,,3.0,0,32.82,0,8.65,70700.0,0.2635588056063376,medium,youth,mid,2.0
5008909,M,Y,Y,1,230100.0,Working,Secondary / secondary special,Married,House / apartment,-7549,-43,1,0,1,0,Laborers,3.0,0,20.67,0,0.12,76700.0,0.005805515239477503,medium,youth,entry,3.0
5008910,F,Y,Y,0,188800.0,Working,Higher education,Married,House / apartment,-23714,-62,1,0,0,0,,2.0,0,64.93,0,0.17,94400.0,0.0026182042199291546,medium,senior,entry,3.0
5008911,F,Y,Y,0,382800.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-9771,-3042,1,1,1,0,,2.0,0,26.75,0,8.33,191400.0,0.3114018691588785,high,youth,mid,3.0
5008912,M,N,Y,0,170300.0,Working,Secondary / secondary special,Married,House / apartment,-21308,-8036,1,0,0,0,Core staff,2.0,0,58.34,0,22.0,85150.0,0.3770997600274254,medium,senior,senior,2.0
5008913,M,N,Y,0,184900.0,Working,Secondary / secondary special,Married,House / apartment,-13635,-5531,1,0,0,0,Medicine staff,2.0,0,37.33,0,15.14,92450.0,0.4055719260648272,medium,adult,senior,2.0
5008914,M,N,Y,1,171200.0,State servant,Higher education,Married,House / apartment,-12376,-1173,1,0,1,0,Managers,3.0,0,33.88,0,3.21,57066.666666666664,0.0947461629279811,medium,youth,mid,2.0
5008915,M,N,Y,1,421500.0,Working,Secondary / secondary special,Married,House / apartment,-24491,-14047,1,0,0,0,,3.0,0,67.05,0,38.46,140500.0,0.5736017897091723,high,senior,senior,2.0
5008916,F,N,N,2,190800.0,Working,Higher education,Married,House / apartment,-19307,-8,1,0,0,0,Laborers,4.0,0,52.86,0,0.02,47700.0,0.00037835792659856227,medium,adult,entry,1.0
5008917,F,N,Y,0,307300.0,Working,Secondary / secondary special,Married,House / apartment,-19850,-13273,1,0,0,0,Sales staff,2.0,0,54.35,0,36.34,153650.0,0.6686292548298068,high,adult,senior,2.0
5008918,F,Y,Y,0,655600.0,Working,Higher education,Married,House / apartment,-21178,-12140,1,1,0,0,Accountants,2.0,0,57.98,0,33.24,327800.0,0.5733011383235599,high,senior,senior,3.0
5008919,F,N,Y,1,235200.0,Student,Higher education,Married,House / apartment,-13531,-4959,1,1,0,0,Laborers,3.0,0,37.05,0,13.58,78400.0,0.366531713900135,medium,adult,senior,2.0
5008920,F,N,Y,0,425700.0,Working,Secondary / secondary special,Single / not married,House / apartment,-17599,-1017,1,0,0,0,,1.0,0,48.18,0,2.78,425700.0,0.057700290577002905,high,adult,entry,2.0
5008921,M,N,Y,1,563100.0,Working,Secondary / secondary special,Single / not married,House / apartment,-12240,-4620,1,0,0,0,Sales staff,2.0,0,33.51,0,12.65,281550.0,0.3774992539540436,high,youth,senior,2.0
5008922,F,N,Y,0,408000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22546,365243,1,0,1,0,,2.0,0,61.73,1,0.0,204000.0,0.0,high,senior,entry,2.0
5008923,F,Y,N,0,242100.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18250,-3468,1,0,0,0,,2.0,0,49.97,0,9.49,121050.0,0.18991394836902142,medium,adult,mid,2.0
5008924,F,Y,Y,0,336600.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-11750,-4423,1,0,0,0,,2.0,1,32.17,0,12.11,168300.0,0.37643767485234686,high,youth,senior,3.0
5008925,F,N,Y,0,128300.0,Pensioner,Higher education,Married,House / apartment,-23737,365243,1,0,0,0,,2.0,1,64.99,1,0.0,64150.0,0.0,medium,senior,entry,1.0
5008926,M,Y,N,0,165300.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17913,-7443,1,0,0,0,Laborers,2.0,0,49.04,0,20.38,82650.0,0.41557911908646,medium,adult,senior,2.0
5008927,M,N,N,0,180400.0,Working,Secondary / secondary special,Single / not married,House / apartment,-16345,-4430,1,0,0,0,Sales staff,1.0,0,44.75,0,12.13,180400.0,0.2710614525139665,medium,adult,senior,1.0
5008928,M,N,Y,0,748500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-7935,-319,1,0,0,0,,2.0,0,21.72,0,0.87,374250.0,0.04005524861878453,high,youth,entry,2.0
5008929,F,N,N,0,162600.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23920,365243,1,0,0,0,,2.0,0,65.49,1,0.0,81300.0,0.0,medium,senior,entry,1.0
5008930,F,N,Y,0,161400.0,Working,Secondary / secondary special,Widow,House / apartment,-24696,-4381,1,0,0,0,,1.0,0,67.61,0,11.99,161400.0,0.17734063008430706,medium,senior,senior,2.0
5008931,F,Y,N,0,144900.0,Commercial associate,Incomplete higher,Married,House / apartment,-17579,-3127,1,1,0,0,,2.0,0,48.13,0,8.56,72450.0,0.1778516517764388,medium,adult,mid,1.0
5008932,M,Y,Y,1,323000.0,State servant,Secondary / secondary special,Separated,House / apartment,-15386,-7432,1,0,0,0,Laborers,2.0,0,42.12,0,20.35,161500.0,0.48314339981006654,high,adult,senior,3.0
5008933,F,N,Y,0,262200.0,Commercial associate,Higher education,Married,House / apartment,-13872,-1307,1,0,0,0,Managers,2.0,0,37.98,0,3.58,131100.0,0.09426013691416536,high,adult,mid,2.0
