ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS
5008890,F,N,N,1,632700.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-22726,-3436,1,0,1,0,Drivers,3.0
5008891,F,Y,Y,0,243300.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18716,-8256,1,0,0,0,Sales staff,2.0
5008892,F,N,N,0,649000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-12293,365243,1,0,1,0,,2.0
5008893,F,Y,Y,0,513800.0,Working,Secondary / secondary special,Married,House / apartment,-23897,-9384,1,0,0,0,Drivers,2.0
5008894,M,Y,Y,0,194900.0,Working,Higher education,Married,House / apartment,-10563,-267,1,0,1,0,Sales staff,2.0
5008895,F,Y,Y,0,89400.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-8102,-1230,1,0,0,0,,2.0
5008896,F,N,Y,0,218900.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,-21853,-11847,1,0,1,0,,2.0
5008897,F,Y,N,0,176900.0,State servant,Secondary / secondary special,Single / not married,House / apartment,-17599,-5589,1,0,1,0,Laborers,1.0
5008898,F,Y,N,0,270700.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-11806,-798,1,0,0,0,,2.0
5008899,F,N,Y,0,255300.0,Working,Higher education,Married,House / apartment,-19557,-9352,1,0,0,0,Accountants,2.0
5008900,F,N,Y,0,251900.0,Working,Secondary / secondary special,Married,House / apartment,-21307,-1645,1,1,1,0,Accountants,2.0
5008901,F,Y,N,0,317200.0,State servant,Secondary / secondary special,Married,House / apartment,-22729,-8750,1,0,1,0,Laborers,2.0
5008902,M,N,Y,0,133100.0,Working,Secondary / secondary special,Married,House / apartment,-12457,-4295,1,0,0,1,Cooking staff,2.0
5008903,M,Y,Y,0,299900.0,Working,Higher education,Single / not married,House / apartment,-7772,-17,1,1,1,0,Medicine staff,1.0
5008904,M,N,N,0,196000.0,State servant,Higher education,Married,House / apartment,-16620,-9132,1,0,0,0,,2.0
5008905,F,N,Y,0,269800.0,Working,Secondary / secondary special,Single / not married,Rented apartment,-22939,-10186,1,0,0,0,Security staff,1.0
5008906,M,N,N,0,394000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-11100,-1960,1,0,0,0,,1.0
5008907,F,Y,Y,0,132400.0,Commercial associate,Higher education,Married,With parents,-14996,-103,1,0,0,0,Laborers,2.0
5008908,F,Y,N,1,212100.0,Working,Secondary / secondary special,Married,House / apartment,-11988,-3158,1,0,0,0,,3.0
5008909,M,Y,Y,1,230100.0,Working,Secondary / secondary special,Married,House / apartment,-7549,-43,1,0,1,0,Laborers,3.0
5008910,F,Y,Y,0,188800.0,Working,Higher education,Married,House / apartment,-23714,-62,1,0,0,0,,2.0
5008911,F,Y,Y,0,382800.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-9771,-3042,1,1,1,0,,2.0
5008912,M,N,Y,0,170300.0,Working,Secondary / secondary special,Married,House / apartment,-21308,-8036,1,0,0,0,Core staff,2.0
5008913,M,N,Y,0,184900.0,Working,Secondary / secondary special,Married,House / apartment,-13635,-5531,1,0,0,0,Medicine staff,2.0
5008914,M,N,Y,1,171200.0,State servant,Higher education,Married,House / apartment,-12376,-1173,1,0,1,0,Managers,3.0
5008915,M,N,Y,1,421500.0,Working,Secondary / secondary special,Married,House / apartment,-24491,-14047,1,0,0,0,,3.0
5008916,F,N,N,2,190800.0,Working,Higher education,Married,House / apartment,-19307,-8,1,0,0,0,Laborers,4.0
5008917,F,N,Y,0,307300.0,Working,Secondary / secondary special,Married,House / apartment,-19850,-13273,1,0,0,0,Sales staff,2.0
5008918,F,Y,Y,0,655600.0,Working,Higher education,Married,House / apartment,-21178,-12140,1,1,0,0,Accountants,2.0
5008919,F,N,Y,1,235200.0,Student,Higher education,Married,House / apartment,-13531,-4959,1,1,0,0,Laborers,3.0
5008920,F,N,Y,0,425700.0,Working,Secondary / secondary special,Single / not married,House / apartment,-17599,-1017,1,0,0,0,,1.0
5008921,M,N,Y,1,563100.0,Working,Secondary / secondary special,Single / not married,House / apartment,-12240,-4620,1,0,0,0,Sales staff,2.0
5008922,F,N,Y,0,408000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22546,365243,1,0,1,0,,2.0
5008923,F,Y,N,0,242100.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18250,-3468,1,0,0,0,,2.0
5008924,F,Y,Y,0,336600.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-11750,-4423,1,0,0,0,,2.0
5008925,F,N,Y,0,128300.0,Pensioner,Higher education,Married,House / apartment,-23737,365243,1,0,0,0,,2.0
5008926,M,Y,N,0,165300.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17913,-7443,1,0,0,0,Laborers,2.0
5008927,M,N,N,0,180400.0,Working,Secondary / secondary special,Single / not married,House / apartment,-16345,-4430,1,0,0,0,Sales staff,1.0
5008928,M,N,Y,0,748500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-7935,-319,1,0,0,0,,2.0
5008929,F,N,N,0,162600.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23920,365243,1,0,0,0,,2.0
5008930,F,N,Y,0,161400.0,Working,Secondary / secondary special,Widow,House / apartment,-24696,-4381,1,0,0,0,,1.0
5008931,F,Y,N,0,144900.0,Commercial associate,Incomplete higher,Married,House / apartment,-17579,-3127,1,1,0,0,,2.0
5008932,M,Y,Y,1,323000.0,State servant,Secondary / secondary special,Separated,House / apartment,-15386,-7432,1,0,0,0,Laborers,2.0
5008933,F,N,Y,0,262200.0,Commercial associate,Higher education,Married,House / apartment,-13872,-1307,1,0,0,0,Managers,2.0
5008934,F,N,N,0,420400.0,Working,Higher education,Married,House / apartment,-12200,-1519,1,0,1,0,Sales staff,2.0
5008935,M,N,Y,3,341500.0,Working,Higher education,Married,Rented apartment,-17797,-10508,1,0,0,0,,5.0
5008936,M,Y,Y,2,122400.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-9644,-282,1,0,0,0,Private service staff,3.0
5008937,M,Y,Y,0,163100.0,Working,Secondary / secondary special,Married,With parents,-24091,-14814,1,0,0,0,High skill tech staff,2.0
5008938,F,N,Y,1,483200.0,State servant,Secondary / secondary special,Married,House / apartment,-10518,-943,1,0,0,0,,3.0
5008939,M,Y,Y,0,220500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-20920,-7819,1,0,1,0,Core staff,1.0
5008940,F,N,Y,0,442100.0,Working,Lower secondary,Married,House / apartment,-12910,-6015,1,0,0,0,,2.0
5008941,F,Y,Y,0,226500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-11434,-1784,1,0,0,0,Core staff,2.0
5008942,F,N,Y,0,150500.0,Working,Secondary / secondary special,Married,House / apartment,-17493,-6887,1,0,0,0,,2.0
5008943,F,N,Y,1,209800.0,Working,Secondary / secondary special,Married,House / apartment,-21278,-976,1,0,0,0,Laborers,3.0
5008944,F,N,Y,1,150500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-20577,-13976,1,0,0,0,Laborers,3.0
5008945,M,Y,Y,3,184000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-11574,-3723,1,0,0,0,Core staff,5.0
5008946,F,N,N,1,269900.0,Pensioner,Secondary / secondary special,Married,House / apartment,-13341,365243,1,0,0,0,,3.0
5008947,M,N,Y,0,315300.0,Commercial associate,Higher education,Married,House / apartment,-23172,-6136,1,0,0,0,Core staff,2.0
5008948,M,N,Y,0,110200.0,Working,Secondary / secondary special,Married,House / apartment,-20513,-772,1,0,0,0,,2.0
5008949,M,N,N,4,242000.0,Working,Secondary / secondary special,Married,House / apartment,-20321,-11025,1,0,1,0,Sales staff,6.0
5008950,F,N,N,1,182100.0,Pensioner,Secondary / secondary special,Married,House / apartment,-12216,365243,1,1,0,0,,3.0
5008951,F,N,Y,1,176500.0,State servant,Secondary / secondary special,Widow,House / apartment,-21769,-7965,1,0,0,1,Core staff,2.0
5008952,M,N,N,2,260900.0,Working,Secondary / secondary special,Single / not married,House / apartment,-13851,-5358,1,0,1,0,Laborers,3.0
5008953,M,Y,Y,0,185400.0,Commercial associate,Higher education,Married,House / apartment,-14635,-544,1,0,1,0,Managers,2.0
5008954,F,Y,N,1,487300.0,Working,Secondary / secondary special,Married,House / apartment,-12557,-769,1,1,1,0,Laborers,3.0
5008955,M,Y,Y,1,442200.0,Working,Secondary / secondary special,Married,House / apartment,-9522,-192,1,0,0,0,Drivers,3.0
5008956,M,N,Y,2,440800.0,Pensioner,Incomplete higher,Married,House / apartment,-14982,365243,1,0,0,0,,4.0
5008957,F,N,Y,0,190600.0,Working,Higher education,Married,House / apartment,-7614,-944,1,0,0,0,Laborers,2.0
5008958,F,N,N,0,150900.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15631,-4397,1,0,1,0,Managers,2.0
5008959,M,Y,Y,0,254400.0,Working,Secondary / secondary special,Married,House / apartment,-20545,-13761,1,0,0,0,Laborers,2.0
5008960,F,Y,Y,0,226500.0,Working,Higher education,Married,House / apartment,-24851,-12206,1,1,0,0,,2.0
5008961,F,N,Y,0,180100.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-8741,-1087,1,0,1,0,Managers,1.0
5008962,M,N,N,0,135600.0,Working,Secondary / secondary special,Married,House / apartment,-12442,-940,1,0,1,0,Drivers,2.0
5008963,F,Y,N,0,239100.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-16329,-695,1,0,0,0,Laborers,2.0
5008964,F,N,Y,0,199500.0,Working,Secondary / secondary special,Married,House / apartment,-10417,-2652,1,1,0,0,,2.0
5008965,F,Y,Y,0,344400.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-9439,-1588,1,0,0,0,,2.0
5008966,F,Y,Y,0,340400.0,Working,Secondary / secondary special,Widow,House / apartment,-15565,365243,1,0,0,0,,1.0
5008967,F,N,Y,0,423300.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17911,-9555,1,0,1,0,,2.0
5008968,M,Y,N,0,130100.0,Commercial associate,Higher education,Separated,House / apartment,-22284,-14330,1,0,0,0,Laborers,1.0
5008969,F,N,Y,0,298300.0,State servant,Secondary / secondary special,Married,House / apartment,-25527,-2936,1,0,0,0,Laborers,2.0
5008970,M,Y,Y,0,169700.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21445,365243,1,0,1,1,,2.0
5008971,M,Y,Y,0,132600.0,Working,Secondary / secondary special,Married,House / apartment,-11347,-2996,1,0,0,1,Laborers,2.0
5008972,M,Y,Y,0,197000.0,Working,Secondary / secondary special,Civil marriage,With parents,-20965,-12270,1,0,0,0,,2.0
5008973,F,N,Y,1,416600.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17115,-7750,1,0,0,0,,3.0
5008974,F,N,Y,0,202700.0,Commercial associate,Higher education,Widow,House / apartment,-15538,-6915,1,0,1,0,Sales staff,1.0
5008975,M,N,Y,0,534000.0,Working,Secondary / secondary special,Married,House / apartment,-24394,-1427,1,0,0,0,,2.0
5008976,F,Y,Y,1,321200.0,Working,Secondary / secondary special,Married,House / apartment,-20127,-12738,1,1,1,0,Managers,3.0
5008977,M,Y,Y,0,200500.0,Commercial associate,Higher education,Married,House / apartment,-19754,-6224,1,1,0,1,Laborers,2.0
5008978,F,N,Y,2,436000.0,Pensioner,Higher education,Married,House / apartment,-7520,365243,1,1,1,0,,4.0
5008979,M,N,Y,1,305000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23103,365243,1,0,0,0,,3.0
5008980,F,N,N,0,153200.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-21793,-1313,1,1,0,0,,2.0
5008981,F,Y,Y,0,618400.0,Working,Secondary / secondary special,Married,House / apartment,-12764,-1774,1,0,0,1,Sales staff,2.0
5008982,F,N,Y,0,278000.0,Working,Secondary / secondary special,Married,House / apartment,-12640,-5304,1,1,1,0,Laborers,2.0
5008983,M,N,N,0,246400.0,Working,Secondary / secondary special,Married,House / apartment,-8282,-1113,1,0,0,1,,2.0
5008984,M,Y,Y,0,159200.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-8234,-1444,1,0,0,0,Drivers,2.0
5008985,M,N,Y,0,440300.0,Pensioner,Higher education,Married,House / apartment,-19515,365243,1,0,1,0,,2.0
5008986,F,Y,Y,1,316200.0,Working,Higher education,Married,House / apartment,-10706,-374,1,1,0,0,Core staff,3.0
5008987,F,N,Y,0,334400.0,Working,Secondary / secondary special,Single / not married,House / apartment,-24171,-14557,1,0,1,0,,1.0
5008988,M,N,Y,0,189400.0,Working,Secondary / secondary special,Married,House / apartment,-22689,-14589,1,1,0,0,HR staff,2.0
5008989,F,N,Y,0,370500.0,State servant,Higher education,Single / not married,House / apartment,-13677,-6940,1,0,0,0,Laborers,1.0
5008990,F,N,N,0,385100.0,Working,Secondary / secondary special,Married,House / apartment,-14246,-385,1,0,1,0,,2.0
5008991,F,Y,N,0,174700.0,Working,Secondary / secondary special,Married,House / apartment,-13282,-740,1,0,0,0,Accountants,2.0
5008992,F,N,Y,0,120200.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-8992,-2177,1,0,1,0,Laborers,2.0
5008993,M,Y,Y,0,326500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-7879,-792,1,0,0,0,Sales staff,1.0
5008994,M,Y,Y,2,111200.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-15562,365243,1,1,0,0,,3.0
5008995,F,N,Y,0,263400.0,Working,Lower secondary,Married,House / apartment,-24527,-17845,1,1,0,0,Sales staff,2.0
5008996,F,N,Y,0,195200.0,Working,Secondary / secondary special,Married,House / apartment,-24056,-16214,1,0,0,0,,2.0
5008997,F,N,N,0,449000.0,Working,Secondary / secondary special,Married,House / apartment,-22095,-4493,1,1,0,0,Managers,2.0
5008998,M,Y,Y,0,200600.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-18785,365243,1,0,0,0,,2.0
5008999,M,N,N,0,424700.0,Pensioner,Higher education,Single / not married,House / apartment,-22942,365243,1,0,0,0,,1.0
5009000,F,N,N,1,188800.0,Pensioner,Higher education,Married,With parents,-16711,365243,1,0,1,1,,3.0
5009001,F,Y,N,2,402500.0,Working,Secondary / secondary special,Married,House / apartment,-10595,365243,1,0,0,0,,4.0
5009002,F,Y,Y,0,683900.0,Pensioner,Higher education,Single / not married,House / apartment,-19800,365243,1,0,1,0,,1.0
5009003,F,Y,Y,0,143100.0,Working,Secondary / secondary special,Married,House / apartment,-24118,-15112,1,0,1,0,,2.0
5009004,F,Y,Y,0,282500.0,Working,Secondary / secondary special,Married,House / apartment,-7663,-657,1,0,1,1,Laborers,2.0
5009005,M,N,Y,0,965000.0,Working,Secondary / secondary special,Married,House / apartment,-11897,-573,1,0,0,0,Sales staff,2.0
5009006,M,N,Y,0,252400.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-12153,-2351,1,0,1,0,,2.0
5009007,F,N,Y,0,251800.0,Working,Secondary / secondary special,Widow,House / apartment,-9114,-2300,1,0,0,0,Medicine staff,1.0
5009008,F,N,Y,0,362100.0,Pensioner,Secondary / secondary special,Separated,House / apartment,-11423,365243,1,0,0,0,,1.0
5009009,M,Y,Y,0,249200.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14317,-4390,1,0,1,0,Core staff,2.0
5009010,M,N,N,1,104000.0,Working,Secondary / secondary special,Married,House / apartment,-24469,-13157,1,0,0,1,High skill tech staff,3.0
5009011,F,N,Y,1,430000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-23016,-10282,1,0,0,0,,2.0
5009012,M,N,Y,0,89700.0,Working,Secondary / secondary special,Married,House / apartment,-24581,-14843,1,0,0,0,Core staff,2.0
5009013,M,Y,Y,0,198200.0,Working,Secondary / secondary special,Married,With parents,-9507,-2800,1,1,0,0,Laborers,2.0
5009014,F,N,N,2,446500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-7817,-660,1,0,0,0,Laborers,4.0
