ID,MONTHS_BALANCE,STATUS
5008806,-2,1
5008806,-1,0
5008806,0,C
5008807,-33,C
5008807,-32,C
5008807,-31,0
5008807,-30,X
5008807,-29,0
5008807,-28,0
5008807,-27,C
5008807,-26,C
5008807,-25,C
5008807,-24,C
5008807,-23,C
5008807,-22,0
5008807,-21,C
5008807,-20,C
5008807,-19,0
5008807,-18,X
5008807,-17,0
5008807,-16,0
5008807,-15,0
5008807,-14,0
5008807,-13,0
5008807,-12,0
5008807,-11,0
5008807,-10,0
5008807,-9,C
5008807,-8,C
5008807,-7,C
5008807,-6,C
5008807,-5,0
5008807,-4,0
5008807,-3,0
5008807,-2,0
5008807,-1,0
5008807,0,C
5008808,-41,X
5008808,-40,C
5008808,-39,C
5008808,-38,C
5008808,-37,X
5008808,-36,C
5008808,-35,0
5008808,-34,X
5008808,-33,1
5008808,-32,0
5008808,-31,X
5008808,-30,0
5008808,-29,0
5008808,-28,C
5008808,-27,C
5008808,-26,C
5008808,-25,C
5008808,-24,C
5008808,-23,0
5008808,-22,0
5008808,-21,0
5008808,-20,C
5008808,-19,C
5008808,-18,C
5008808,-17,0
5008808,-16,C
5008808,-15,0
5008808,-14,C
5008808,-13,0
5008808,-12,X
5008808,-11,C
5008808,-10,X
5008808,-9,C
5008808,-8,0
5008808,-7,0
5008808,-6,C
5008808,-5,C
5008808,-4,0
5008808,-3,C
5008808,-2,C
5008808,-1,C
5008808,0,C
5008809,-43,C
5008809,-42,C
5008809,-41,C
5008809,-40,1
5008809,-39,0
5008809,-38,C
5008809,-37,X
5008809,-36,C
5008809,-35,C
5008809,-34,0
5008809,-33,0
5008809,-32,1
5008809,-31,C
5008809,-30,0
5008809,-29,C
5008809,-28,C
5008809,-27,0
5008809,-26,C
5008809,-25,X
5008809,-24,C
5008809,-23,0
5008809,-22,C
5008809,-21,C
5008809,-20,0
5008809,-19,0
5008809,-18,0
5008809,-17,C
5008809,-16,C
5008809,-15,0
5008809,-14,C
5008809,-13,C
5008809,-12,X
5008809,-11,C
5008809,-10,X
5008809,-9,0
5008809,-8,C
5008809,-7,X
5008809,-6,C
5008809,-5,1
5008809,-4,C
5008809,-3,C
5008809,-2,C
5008809,-1,C
5008809,0,0
5008810,-33,C
5008810,-32,C
5008810,-31,C
5008810,-30,C
5008810,-29,0
5008810,-28,C
5008810,-27,C
5008810,-26,C
5008810,-25,C
5008810,-24,0
5008810,-23,C
5008810,-22,0
5008810,-21,0
5008810,-20,C
5008810,-19,0
5008810,-18,X
5008810,-17,0
5008810,-16,C
5008810,-15,C
5008810,-14,X
5008810,-13,0
5008810,-12,0
5008810,-11,1
5008810,-10,0
5008810,-9,C
5008810,-8,X
5008810,-7,C
5008810,-6,X
5008810,-5,C
5008810,-4,C
5008810,-3,0
5008810,-2,0
5008810,-1,0
5008810,0,0
5008811,-7,0
5008811,-6,0
5008811,-5,C
5008811,-4,C
5008811,-3,C
5008811,-2,C
5008811,-1,C
5008811,0,0
5008812,-5,0
5008812,-4,0
5008812,-3,C
5008812,-2,C
5008812,-1,C
5008812,0,0
5008813,-48,0
5008813,-47,0
5008813,-46,0
5008813,-45,0
5008813,-44,C
5008813,-43,0
5008813,-42,0
5008813,-41,C
5008813,-40,C
5008813,-39,C
5008813,-38,C
5008813,-37,C
5008813,-36,0
5008813,-35,0
5008813,-34,0
5008813,-33,0
5008813,-32,0
5008813,-31,C
5008813,-30,C
5008813,-29,C
5008813,-28,C
5008813,-27,0
5008813,-26,0
5008813,-25,C
5008813,-24,X
5008813,-23,C
5008813,-22,C
5008813,-21,C
5008813,-20,0
5008813,-19,C
5008813,-18,0
5008813,-17,0
5008813,-16,0
5008813,-15,0
5008813,-14,C
5008813,-13,0
5008813,-12,C
5008813,-11,1
5008813,-10,0
5008813,-9,1
5008813,-8,0
5008813,-7,C
5008813,-6,0
5008813,-5,C
5008813,-4,0
5008813,-3,0
5008813,-2,C
5008813,-1,C
5008813,0,0
5008814,-4,C
5008814,-3,0
5008814,-2,C
5008814,-1,0
5008814,0,C
5008815,-33,X
5008815,-32,0
5008815,-31,C
5008815,-30,0
5008815,-29,0
5008815,-28,0
5008815,-27,C
5008815,-26,0
5008815,-25,X
5008815,-24,C
5008815,-23,0
5008815,-22,0
5008815,-21,C
5008815,-20,C
5008815,-19,C
5008815,-18,X
5008815,-17,X
5008815,-16,0
5008815,-15,C
5008815,-14,C
5008815,-13,0
5008815,-12,1
5008815,-11,0
5008815,-10,0
5008815,-9,C
5008815,-8,C
5008815,-7,0
5008815,-6,C
5008815,-5,C
5008815,-4,0
5008815,-3,C
5008815,-2,0
5008815,-1,C
5008815,0,C
5008816,-8,0
5008816,-7,C
5008816,-6,0
5008816,-5,C
5008816,-4,0
5008816,-3,0
5008816,-2,C
5008816,-1,C
5008816,0,0
5008817,-53,C
5008817,-52,C
5008817,-51,0
5008817,-50,C
5008817,-49,X
5008817,-48,X
5008817,-47,C
5008817,-46,0
5008817,-45,0
5008817,-44,C
5008817,-43,C
5008817,-42,C
5008817,-41,0
5008817,-40,0
5008817,-39,C
5008817,-38,C
5008817,-37,C
5008817,-36,0
5008817,-35,X
5008817,-34,X
5008817,-33,C
5008817,-32,C
5008817,-31,1
5008817,-30,0
5008817,-29,0
5008817,-28,C
5008817,-27,X
5008817,-26,0
5008817,-25,C
5008817,-24,X
5008817,-23,C
5008817,-22,C
5008817,-21,C
5008817,-20,0
5008817,-19,C
5008817,-18,0
5008817,-17,C
5008817,-16,C
5008817,-15,0
5008817,-14,X
5008817,-13,C
5008817,-12,C
5008817,-11,C
5008817,-10,0
5008817,-9,X
5008817,-8,X
5008817,-7,C
5008817,-6,C
5008817,-5,0
5008817,-4,0
5008817,-3,0
5008817,-2,X
5008817,-1,1
5008817,0,0
5008818,-14,4
5008818,-13,0
5008818,-12,1
5008818,-11,X
5008818,-10,0
5008818,-9,2
5008818,-8,0
5008818,-7,2
5008818,-6,0
5008818,-5,X
5008818,-4,0
5008818,-3,C
5008818,-2,0
5008818,-1,1
5008818,0,C
5008819,-9,0
5008819,-8,0
5008819,-7,X
5008819,-6,C
5008819,-5,0
5008819,-4,X
5008819,-3,X
5008819,-2,0
5008819,-1,0
5008819,0,C
5008820,-21,0
5008820,-20,C
5008820,-19,C
5008820,-18,0
5008820,-17,C
5008820,-16,X
5008820,-15,0
5008820,-14,C
5008820,-13,0
5008820,-12,0
5008820,-11,1
5008820,-10,C
5008820,-9,X
5008820,-8,0
5008820,-7,0
5008820,-6,X
5008820,-5,C
5008820,-4,X
5008820,-3,C
5008820,-2,C
5008820,-1,C
5008820,0,C
5008821,-10,0
5008821,-9,2
5008821,-8,0
5008821,-7,X
5008821,-6,1
5008821,-5,2
5008821,-4,C
5008821,-3,1
5008821,-2,0
5008821,-1,C
5008821,0,0
5008822,-34,C
5008822,-33,0
5008822,-32,C
5008822,-31,0
5008822,-30,0
5008822,-29,C
5008822,-28,C
5008822,-27,C
5008822,-26,0
5008822,-25,C
5008822,-24,0
5008822,-23,X
5008822,-22,0
5008822,-21,0
5008822,-20,0
5008822,-19,0
5008822,-18,0
5008822,-17,0
5008822,-16,C
5008822,-15,C
5008822,-14,C
5008822,-13,0
5008822,-12,C
5008822,-11,0
5008822,-10,1
5008822,-9,C
5008822,-8,C
5008822,-7,C
5008822,-6,0
5008822,-5,C
5008822,-4,C
5008822,-3,X
5008822,-2,C
5008822,-1,0
5008822,0,X
5008823,-54,C
5008823,-53,0
5008823,-52,C
5008823,-51,C
5008823,-50,0
5008823,-49,C
5008823,-48,0
5008823,-47,1
5008823,-46,C
5008823,-45,0
5008823,-44,0
5008823,-43,C
5008823,-42,X
5008823,-41,0
5008823,-40,0
5008823,-39,X
5008823,-38,C
5008823,-37,0
5008823,-36,C
5008823,-35,C
5008823,-34,0
5008823,-33,0
5008823,-32,C
5008823,-31,0
5008823,-30,C
5008823,-29,0
5008823,-28,X
5008823,-27,0
5008823,-26,0
5008823,-25,C
5008823,-24,0
5008823,-23,0
5008823,-22,0
5008823,-21,0
5008823,-20,0
5008823,-19,0
5008823,-18,C
5008823,-17,0
5008823,-16,0
5008823,-15,C
5008823,-14,C
5008823,-13,0
5008823,-12,0
5008823,-11,C
5008823,-10,0
5008823,-9,C
5008823,-8,C
5008823,-7,C
5008823,-6,C
5008823,-5,X
5008823,-4,C
5008823,-3,0
5008823,-2,0
5008823,-1,C
5008823,0,C
5008824,-22,C
5008824,-21,C
5008824,-20,C
5008824,-19,C
5008824,-18,C
5008824,-17,0
5008824,-16,X
5008824,-15,0
5008824,-14,0
5008824,-13,X
5008824,-12,0
5008824,-11,1
5008824,-10,C
5008824,-9,0
5008824,-8,C
5008824,-7,C
5008824,-6,C
5008824,-5,C
5008824,-4,C
5008824,-3,0
5008824,-2,X
5008824,-1,X
5008824,0,C
5008825,-47,C
5008825,-46,C
5008825,-45,0
5008825,-44,X
5008825,-43,0
5008825,-42,0
5008825,-41,C
5008825,-40,1
5008825,-39,0
5008825,-38,0
5008825,-37,0
5008825,-36,C
5008825,-35,0
5008825,-34,1
5008825,-33,C
5008825,-32,C
5008825,-31,1
5008825,-30,C
5008825,-29,0
5008825,-28,C
5008825,-27,0
5008825,-26,0
5008825,-25,0
5008825,-24,0
5008825,-23,C
5008825,-22,X
5008825,-21,C
5008825,-20,0
5008825,-19,C
5008825,-18,C
5008825,-17,0
5008825,-16,C
5008825,-15,0
5008825,-14,C
5008825,-13,X
5008825,-12,0
5008825,-11,0
5008825,-10,0
5008825,-9,C
5008825,-8,0
5008825,-7,0
5008825,-6,C
5008825,-5,C
5008825,-4,0
5008825,-3,0
5008825,-2,C
5008825,-1,C
5008825,0,C
5008826,-30,0
5008826,-29,C
5008826,-28,C
5008826,-27,0
5008826,-26,0
5008826,-25,C
5008826,-24,0
5008826,-23,C
5008826,-22,C
5008826,-21,0
5008826,-20,0
5008826,-19,0
5008826,-18,X
5008826,-17,C
5008826,-16,0
5008826,-15,0
5008826,-14,0
5008826,-13,X
5008826,-12,X
5008826,-11,0
5008826,-10,1
5008826,-9,0
5008826,-8,C
5008826,-7,0
5008826,-6,C
5008826,-5,C
5008826,-4,0
5008826,-3,C
5008826,-2,C
5008826,-1,1
5008826,0,X
5008827,-16,0
5008827,-15,C
5008827,-14,C
5008827,-13,0
5008827,-12,0
5008827,-11,X
5008827,-10,C
5008827,-9,C
5008827,-8,C
5008827,-7,0
5008827,-6,0
5008827,-5,0
5008827,-4,0
5008827,-3,C
5008827,-2,0
5008827,-1,C
5008827,0,0
5008828,-49,0
5008828,-48,X
5008828,-47,C
5008828,-46,0
5008828,-45,C
5008828,-44,0
5008828,-43,X
5008828,-42,C
5008828,-41,0
5008828,-40,0
5008828,-39,0
5008828,-38,0
5008828,-37,X
5008828,-36,0
5008828,-35,0
5008828,-34,0
5008828,-33,C
5008828,-32,C
5008828,-31,C
5008828,-30,C
5008828,-29,C
5008828,-28,C
5008828,-27,0
5008828,-26,0
5008828,-25,C
5008828,-24,C
5008828,-23,0
5008828,-22,C
5008828,-21,C
5008828,-20,0
5008828,-19,C
5008828,-18,0
5008828,-17,C
5008828,-16,C
5008828,-15,0
5008828,-14,C
5008828,-13,C
5008828,-12,0
5008828,-11,0
5008828,-10,C
5008828,-9,C
5008828,-8,X
5008828,-7,C
5008828,-6,1
5008828,-5,C
5008828,-4,C
5008828,-3,C
5008828,-2,0
5008828,-1,1
5008828,0,X
5008829,-33,0
5008829,-32,0
5008829,-31,X
5008829,-30,0
5008829,-29,0
5008829,-28,X
5008829,-27,0
5008829,-26,C
5008829,-25,C
5008829,-24,0
5008829,-23,C
5008829,-22,0
5008829,-21,0
5008829,-20,C
5008829,-19,C
5008829,-18,0
5008829,-17,C
5008829,-16,0
5008829,-15,C
5008829,-14,0
5008829,-13,X
5008829,-12,X
5008829,-11,C
5008829,-10,1
5008829,-9,C
5008829,-8,C
5008829,-7,C
5008829,-6,X
5008829,-5,C
5008829,-4,X
5008829,-3,0
5008829,-2,X
5008829,-1,C
5008829,0,C
5008830,-35,0
5008830,-34,1
5008830,-33,C
5008830,-32,0
5008830,-31,C
5008830,-30,C
5008830,-29,3
5008830,-28,0
5008830,-27,1
5008830,-26,C
5008830,-25,C
5008830,-24,C
5008830,-23,X
5008830,-22,X
5008830,-21,0
5008830,-20,1
5008830,-19,0
5008830,-18,X
5008830,-17,0
5008830,-16,0
5008830,-15,0
5008830,-14,C
5008830,-13,3
5008830,-12,0
5008830,-11,0
5008830,-10,0
5008830,-9,C
5008830,-8,C
5008830,-7,1
5008830,-6,1
5008830,-5,C
5008830,-4,0
5008830,-3,C
5008830,-2,C
5008830,-1,1
5008830,0,0
5008831,-21,C
5008831,-20,X
5008831,-19,C
5008831,-18,0
5008831,-17,0
5008831,-16,X
5008831,-15,0
5008831,-14,0
5008831,-13,0
5008831,-12,1
5008831,-11,C
5008831,-10,C
5008831,-9,0
5008831,-8,X
5008831,-7,0
5008831,-6,C
5008831,-5,C
5008831,-4,X
5008831,-3,X
5008831,-2,C
5008831,-1,C
5008831,0,C
5008832,-37,C
5008832,-36,0
5008832,-35,0
5008832,-34,C
5008832,-33,C
5008832,-32,X
5008832,-31,C
5008832,-30,C
5008832,-29,C
5008832,-28,0
5008832,-27,0
5008832,-26,0
5008832,-25,0
5008832,-24,0
5008832,-23,0
5008832,-22,C
5008832,-21,0
5008832,-20,0
5008832,-19,0
5008832,-18,C
5008832,-17,0
5008832,-16,C
5008832,-15,X
5008832,-14,X
5008832,-13,0
5008832,-12,0
5008832,-11,C
5008832,-10,C
5008832,-9,0
5008832,-8,0
5008832,-7,C
5008832,-6,X
5008832,-5,0
5008832,-4,1
5008832,-3,X
5008832,-2,0
5008832,-1,0
5008832,0,C
5008833,-10,C
5008833,-9,0
5008833,-8,0
5008833,-7,0
5008833,-6,X
5008833,-5,X
5008833,-4,0
5008833,-3,C
5008833,-2,C
5008833,-1,C
5008833,0,C
5008834,-32,0
5008834,-31,C
5008834,-30,1
5008834,-29,C
5008834,-28,C
5008834,-27,C
5008834,-26,1
5008834,-25,0
5008834,-24,C
5008834,-23,1
5008834,-22,C
5008834,-21,C
5008834,-20,C
5008834,-19,C
5008834,-18,1
5008834,-17,0
5008834,-16,C
5008834,-15,C
5008834,-14,C
5008834,-13,0
5008834,-12,C
5008834,-11,C
5008834,-10,0
5008834,-9,C
5008834,-8,0
5008834,-7,X
5008834,-6,C
5008834,-5,C
5008834,-4,C
5008834,-3,C
5008834,-2,X
5008834,-1,C
5008834,0,0
5008835,-48,C
5008835,-47,0
5008835,-46,0
5008835,-45,C
5008835,-44,0
5008835,-43,0
5008835,-42,0
5008835,-41,0
5008835,-40,C
5008835,-39,0
5008835,-38,0
5008835,-37,0
5008835,-36,0
5008835,-35,0
5008835,-34,X
5008835,-33,X
5008835,-32,C
5008835,-31,C
5008835,-30,0
5008835,-29,C
5008835,-28,C
5008835,-27,C
5008835,-26,0
5008835,-25,X
5008835,-24,C
5008835,-23,0
5008835,-22,0
5008835,-21,C
5008835,-20,0
5008835,-19,C
5008835,-18,0
5008835,-17,C
5008835,-16,C
5008835,-15,X
5008835,-14,C
5008835,-13,0
5008835,-12,0
5008835,-11,0
5008835,-10,0
5008835,-9,C
5008835,-8,0
5008835,-7,X
5008835,-6,0
5008835,-5,0
5008835,-4,C
5008835,-3,C
5008835,-2,X
5008835,-1,C
5008835,0,C
5008836,-9,X
5008836,-8,1
5008836,-7,0
5008836,-6,C
5008836,-5,0
5008836,-4,0
5008836,-3,0
5008836,-2,C
5008836,-1,C
5008836,0,C
5008837,-43,C
5008837,-42,0
5008837,-41,X
5008837,-40,1
5008837,-39,0
5008837,-38,X
5008837,-37,0
5008837,-36,C
5008837,-35,C
5008837,-34,0
5008837,-33,C
5008837,-32,C
5008837,-31,0
5008837,-30,1
5008837,-29,0
5008837,-28,0
5008837,-27,X
5008837,-26,0
5008837,-25,0
5008837,-24,X
5008837,-23,C
5008837,-22,0
5008837,-21,0
5008837,-20,0
5008837,-19,C
5008837,-18,C
5008837,-17,0
5008837,-16,0
5008837,-15,0
5008837,-14,C
5008837,-13,C
5008837,-12,C
5008837,-11,C
5008837,-10,C
5008837,-9,X
5008837,-8,C
5008837,-7,0
5008837,-6,0
5008837,-5,C
5008837,-4,0
5008837,-3,X
5008837,-2,C
5008837,-1,0
5008837,0,C
5008838,-57,X
5008838,-56,C
5008838,-55,0
5008838,-54,0
5008838,-53,C
5008838,-52,C
5008838,-51,C
5008838,-50,C
5008838,-49,C
5008838,-48,C
5008838,-47,X
5008838,-46,0
5008838,-45,C
5008838,-44,C
5008838,-43,C
5008838,-42,C
5008838,-41,0
5008838,-40,C
5008838,-39,C
5008838,-38,0
5008838,-37,0
5008838,-36,1
5008838,-35,0
5008838,-34,X
5008838,-33,1
5008838,-32,0
5008838,-31,X
5008838,-30,C
5008838,-29,C
5008838,-28,0
5008838,-27,0
5008838,-26,X
5008838,-25,0
5008838,-24,C
5008838,-23,0
5008838,-22,0
5008838,-21,0
5008838,-20,C
5008838,-19,0
5008838,-18,0
5008838,-17,C
5008838,-16,X
5008838,-15,C
5008838,-14,C
5008838,-13,C
5008838,-12,C
5008838,-11,0
5008838,-10,0
5008838,-9,C
5008838,-8,C
5008838,-7,C
5008838,-6,X
5008838,-5,C
5008838,-4,0
5008838,-3,0
5008838,-2,X
5008838,-1,C
5008838,0,C
5008839,-24,C
5008839,-23,C
5008839,-22,C
5008839,-21,1
5008839,-20,2
5008839,-19,0
5008839,-18,3
5008839,-17,0
5008839,-16,C
5008839,-15,0
5008839,-14,0
5008839,-13,C
5008839,-12,3
5008839,-11,0
5008839,-10,0
5008839,-9,4
5008839,-8,1
5008839,-7,0
5008839,-6,C
5008839,-5,C
5008839,-4,0
5008839,-3,3
5008839,-2,2
5008839,-1,C
5008839,0,4
5008840,-32,C
5008840,-31,X
5008840,-30,C
5008840,-29,0
5008840,-28,C
5008840,-27,C
5008840,-26,0
5008840,-25,0
5008840,-24,0
5008840,-23,X
5008840,-22,0
5008840,-21,0
5008840,-20,0
5008840,-19,C
5008840,-18,C
5008840,-17,X
5008840,-16,C
5008840,-15,0
5008840,-14,0
5008840,-13,0
5008840,-12,C
5008840,-11,0
5008840,-10,C
5008840,-9,C
5008840,-8,C
5008840,-7,C
5008840,-6,C
5008840,-5,0
5008840,-4,C
5008840,-3,X
5008840,-2,C
5008840,-1,0
5008840,0,0
5008841,-53,0
5008841,-52,0
5008841,-51,1
5008841,-50,0
5008841,-49,C
5008841,-48,X
5008841,-47,C
5008841,-46,C
5008841,-45,C
5008841,-44,1
5008841,-43,0
5008841,-42,C
5008841,-41,X
5008841,-40,C
5008841,-39,C
5008841,-38,0
5008841,-37,0
5008841,-36,0
5008841,-35,C
5008841,-34,X
5008841,-33,0
5008841,-32,0
5008841,-31,X
5008841,-30,C
5008841,-29,C
5008841,-28,C
5008841,-27,0
5008841,-26,0
5008841,-25,C
5008841,-24,0
5008841,-23,C
5008841,-22,X
5008841,-21,C
5008841,-20,0
5008841,-19,0
5008841,-18,0
5008841,-17,C
5008841,-16,0
5008841,-15,C
5008841,-14,0
5008841,-13,C
5008841,-12,C
5008841,-11,0
5008841,-10,C
5008841,-9,X
5008841,-8,C
5008841,-7,0
5008841,-6,0
5008841,-5,0
5008841,-4,C
5008841,-3,0
5008841,-2,X
5008841,-1,C
5008841,0,C
5008842,-34,0
5008842,-33,2
5008842,-32,C
5008842,-31,C
5008842,-30,0
5008842,-29,0
5008842,-28,0
5008842,-27,C
5008842,-26,0
5008842,-25,0
5008842,-24,0
5008842,-23,X
5008842,-22,C
5008842,-21,0
5008842,-20,0
5008842,-19,X
5008842,-18,0
5008842,-17,3
5008842,-16,0
5008842,-15,0
5008842,-14,0
5008842,-13,1
5008842,-12,0
5008842,-11,X
5008842,-10,0
5008842,-9,2
5008842,-8,1
5008842,-7,C
5008842,-6,0
5008842,-5,1
5008842,-4,0
5008842,-3,5
5008842,-2,0
5008842,-1,2
5008842,0,0
5008843,-11,0
5008843,-10,C
5008843,-9,C
5008843,-8,X
5008843,-7,0
5008843,-6,C
5008843,-5,0
5008843,-4,0
5008843,-3,C
5008843,-2,C
5008843,-1,X
5008843,0,0
5008844,-21,0
5008844,-20,C
5008844,-19,0
5008844,-18,C
5008844,-17,C
5008844,-16,C
5008844,-15,C
5008844,-14,0
5008844,-13,0
5008844,-12,C
5008844,-11,0
5008844,-10,0
5008844,-9,C
5008844,-8,0
5008844,-7,0
5008844,-6,0
5008844,-5,0
5008844,-4,C
5008844,-3,0
5008844,-2,1
5008844,-1,C
5008844,0,C
5008845,-48,0
5008845,-47,0
5008845,-46,C
5008845,-45,0
5008845,-44,C
5008845,-43,0
5008845,-42,C
5008845,-41,0
5008845,-40,0
5008845,-39,0
5008845,-38,0
5008845,-37,C
5008845,-36,C
5008845,-35,0
5008845,-34,C
5008845,-33,0
5008845,-32,0
5008845,-31,0
5008845,-30,1
5008845,-29,0
5008845,-28,0
5008845,-27,0
5008845,-26,C
5008845,-25,1
5008845,-24,C
5008845,-23,0
5008845,-22,0
5008845,-21,0
5008845,-20,C
5008845,-19,C
5008845,-18,C
5008845,-17,0
5008845,-16,0
5008845,-15,0
5008845,-14,0
5008845,-13,C
5008845,-12,C
5008845,-11,C
5008845,-10,C
5008845,-9,C
5008845,-8,C
5008845,-7,X
5008845,-6,C
5008845,-5,C
5008845,-4,0
5008845,-3,0
5008845,-2,0
5008845,-1,C
5008845,0,C
5008846,-55,C
5008846,-54,0
5008846,-53,0
5008846,-52,C
5008846,-51,C
5008846,-50,0
5008846,-49,C
5008846,-48,C
5008846,-47,C
5008846,-46,C
5008846,-45,C
5008846,-44,0
5008846,-43,0
5008846,-42,C
5008846,-41,C
5008846,-40,C
5008846,-39,0
5008846,-38,C
5008846,-37,0
5008846,-36,C
5008846,-35,0
5008846,-34,C
5008846,-33,0
5008846,-32,C
5008846,-31,C
5008846,-30,C
5008846,-29,C
5008846,-28,C
5008846,-27,0
5008846,-26,X
5008846,-25,C
5008846,-24,1
5008846,-23,C
5008846,-22,0
5008846,-21,0
5008846,-20,0
5008846,-19,C
5008846,-18,0
5008846,-17,C
5008846,-16,C
5008846,-15,X
5008846,-14,0
5008846,-13,C
5008846,-12,C
5008846,-11,C
5008846,-10,X
5008846,-9,0
5008846,-8,0
5008846,-7,C
5008846,-6,0
5008846,-5,X
5008846,-4,X
5008846,-3,C
5008846,-2,C
5008846,-1,C
5008846,0,0
5008847,-21,1
5008847,-20,0
5008847,-19,0
5008847,-18,0
5008847,-17,0
5008847,-16,C
5008847,-15,0
5008847,-14,C
5008847,-13,X
5008847,-12,C
5008847,-11,C
5008847,-10,C
5008847,-9,1
5008847,-8,C
5008847,-7,0
5008847,-6,0
5008847,-5,C
5008847,-4,0
5008847,-3,C
5008847,-2,X
5008847,-1,0
5008847,0,C
5008848,-23,0
5008848,-22,1
5008848,-21,0
5008848,-20,5
5008848,-19,1
5008848,-18,0
5008848,-17,4
5008848,-16,0
5008848,-15,2
5008848,-14,C
5008848,-13,0
5008848,-12,2
5008848,-11,0
5008848,-10,4
5008848,-9,5
5008848,-8,1
5008848,-7,X
5008848,-6,2
5008848,-5,1
5008848,-4,C
5008848,-3,0
5008848,-2,2
5008848,-1,1
5008848,0,0
5008849,-45,0
5008849,-44,0
5008849,-43,C
5008849,-42,0
5008849,-41,C
5008849,-40,C
5008849,-39,0
5008849,-38,C
5008849,-37,C
5008849,-36,0
5008849,-35,0
5008849,-34,C
5008849,-33,C
5008849,-32,0
5008849,-31,0
5008849,-30,0
5008849,-29,C
5008849,-28,C
5008849,-27,0
5008849,-26,0
5008849,-25,C
5008849,-24,C
5008849,-23,0
5008849,-22,C
5008849,-21,0
5008849,-20,C
5008849,-19,X
5008849,-18,0
5008849,-17,C
5008849,-16,0
5008849,-15,C
5008849,-14,C
5008849,-13,X
5008849,-12,0
5008849,-11,0
5008849,-10,C
5008849,-9,C
5008849,-8,X
5008849,-7,0
5008849,-6,0
5008849,-5,0
5008849,-4,0
5008849,-3,0
5008849,-2,C
5008849,-1,0
5008849,0,C
5008850,-51,0
5008850,-50,C
5008850,-49,0
5008850,-48,C
5008850,-47,0
5008850,-46,0
5008850,-45,0
5008850,-44,0
5008850,-43,C
5008850,-42,X
5008850,-41,0
5008850,-40,C
5008850,-39,0
5008850,-38,C
5008850,-37,C
5008850,-36,C
5008850,-35,C
5008850,-34,0
5008850,-33,0
5008850,-32,0
5008850,-31,C
5008850,-30,C
5008850,-29,0
5008850,-28,C
5008850,-27,0
5008850,-26,C
5008850,-25,0
5008850,-24,C
5008850,-23,C
5008850,-22,C
5008850,-21,0
5008850,-20,0
5008850,-19,X
5008850,-18,C
5008850,-17,0
5008850,-16,0
5008850,-15,C
5008850,-14,0
5008850,-13,0
5008850,-12,0
5008850,-11,X
5008850,-10,C
5008850,-9,0
5008850,-8,1
5008850,-7,0
5008850,-6,X
5008850,-5,C
5008850,-4,0
5008850,-3,C
5008850,-2,0
5008850,-1,C
5008850,0,C
5008851,-58,C
5008851,-57,0
5008851,-56,X
5008851,-55,C
5008851,-54,0
5008851,-53,C
5008851,-52,C
5008851,-51,C
5008851,-50,C
5008851,-49,C
5008851,-48,0
5008851,-47,0
5008851,-46,0
5008851,-45,0
5008851,-44,X
5008851,-43,C
5008851,-42,0
5008851,-41,C
5008851,-40,0
5008851,-39,C
5008851,-38,C
5008851,-37,C
5008851,-36,X
5008851,-35,0
5008851,-34,C
5008851,-33,0
5008851,-32,C
5008851,-31,0
5008851,-30,X
5008851,-29,0
5008851,-28,0
5008851,-27,C
5008851,-26,0
5008851,-25,X
5008851,-24,0
5008851,-23,C
5008851,-22,0
5008851,-21,C
